,data_type,tax_status,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year,tax_rate
134,Barrels Produced,Taxable,2009,1,In barrels and kegs,1230788,1371470,1230788.0,1371470.0,$7/$18 per barrel
135,Barrels Produced,Taxable,2009,1,"Tax Determined, Premises Use",6033,7516,6033.0,7516.0,$7/$18 per barrel
136,Barrels Produced,Sub Total Taxable,2009,1,Sub Total Taxable,14318652,14606667,14318652.0,14606667.0,$7/$18 per barrel
137,Barrels Produced,Tax Free,2009,1,For export,334415,263412,334415.0,263412.0,$7/$18 per barrel
138,Barrels Produced,Tax Free,2009,1,For vessels and aircraft,0,0,0.0,0.0,$7/$18 per barrel
139,Barrels Produced,Tax Free,2009,1,Consumed on brewery premises,619,713,619.0,713.0,$7/$18 per barrel
140,Barrels Produced,Sub Total Tax-Free,2009,1,Sub Total Tax-Free,335034,264125,335034.0,264125.0,$7/$18 per barrel
141,Barrels Produced,Totals,2009,1,Total Removals,14653686,14870792,14653686.0,14870792.0,$7/$18 per barrel
142,Barrels Produced,Totals,2009,1,Stocks On Hand end-of-month:,10207721,10248485,10207721.0,10248485.0,$7/$18 per barrel
143,Barrels Produced,Totals,2009,2,Production,15238281,15694198,31328126.0,31913956.0,$7/$18 per barrel
144,Barrels Produced,Taxable,2009,2,In bottles and cans,12739731,13054384,25821562.0,26282073.0,$7/$18 per barrel
145,Barrels Produced,Taxable,2009,2,In barrels and kegs,1290827,1252147,2521724.0,2623682.0,$7/$18 per barrel
146,Barrels Produced,Taxable,2009,2,"Tax Determined, Premises Use",5934,7639,11967.0,15155.0,$7/$18 per barrel
147,Barrels Produced,Sub Total Taxable,2009,2,Sub Total Taxable,14036492,14314170,28355253.0,28920910.0,$7/$18 per barrel
148,Barrels Produced,Tax Free,2009,2,For export,262123,286593,596559.0,550005.0,$7/$18 per barrel
149,Barrels Produced,Tax Free,2009,2,For vessels and aircraft,0,0,0.0,0.0,$7/$18 per barrel
150,Barrels Produced,Tax Free,2009,2,Consumed on brewery premises,467,672,1083.0,1382.0,$7/$18 per barrel
151,Barrels Produced,Sub Total Tax-Free,2009,2,Sub Total Tax-Free,262590,287265,597642.0,551387.0,$7/$18 per barrel
152,Barrels Produced,Totals,2009,2,Total Removals,14299082,14601435,28952895.0,29472297.0,$7/$18 per barrel
153,Barrels Produced,Totals,2009,2,Stocks On Hand end-of-month:,10493764,10492181,20701485.0,20740666.0,$7/$18 per barrel
154,Barrels Produced,Totals,2009,3,Production,17094274,17386397,48434962.0,49300364.0,$7/$18 per barrel
155,Barrels Produced,Taxable,2009,3,In bottles and cans,14167308,13905328,39996376.0,40187402.0,$7/$18 per barrel
156,Barrels Produced,Taxable,2009,3,In barrels and kegs,1497154,1459168,4020246.0,4082852.0,$7/$18 per barrel
157,Barrels Produced,Taxable,2009,3,"Tax Determined, Premises Use",82923,93609,95016.0,108764.0,$7/$18 per barrel
158,Barrels Produced,Sub Total Taxable,2009,3,Sub Total Taxable,15747385,15458105,44111638.0,44379018.0,$7/$18 per barrel
159,Barrels Produced,Tax Free,2009,3,For export,300475,309564,897377.0,859569.0,$7/$18 per barrel
160,Barrels Produced,Tax Free,2009,3,For vessels and aircraft,0,3,0.0,3.0,$7/$18 per barrel
161,Barrels Produced,Tax Free,2009,3,Consumed on brewery premises,6980,7598,8071.0,8980.0,$7/$18 per barrel
162,Barrels Produced,Sub Total Tax-Free,2009,3,Sub Total Tax-Free,307455,317165,905448.0,868552.0,$7/$18 per barrel
163,Barrels Produced,Totals,2009,3,Total Removals,16054840,15775270,45017086.0,45247570.0,$7/$18 per barrel
164,Barrels Produced,Totals,2009,3,Stocks On Hand end-of-month:,10607836,11200434,31330063.0,31941151.0,$7/$18 per barrel
165,Barrels Produced,Totals,2009,4,Production,17216410,17255018,65651372.0,66555382.0,$7/$18 per barrel
166,Barrels Produced,Taxable,2009,4,In bottles and cans,14384698,14361099,54381074.0,54548501.0,$7/$18 per barrel
167,Barrels Produced,Taxable,2009,4,In barrels and kegs,1504016,1457293,5524262.0,5540145.0,$7/$18 per barrel
168,Barrels Produced,Taxable,2009,4,"Tax Determined, Premises Use",5798,8696,100814.0,117460.0,$7/$18 per barrel
169,Barrels Produced,Sub Total Taxable,2009,4,Sub Total Taxable,15894512,15827088,60006150.0,60206106.0,$7/$18 per barrel
170,Barrels Produced,Tax Free,2009,4,For export,295526,361949,1192903.0,1221518.0,$7/$18 per barrel
171,Barrels Produced,Tax Free,2009,4,For vessels and aircraft,0,0,0.0,3.0,$7/$18 per barrel
172,Barrels Produced,Tax Free,2009,4,Consumed on brewery premises,768,827,8839.0,9807.0,$7/$18 per barrel
173,Barrels Produced,Sub Total Tax-Free,2009,4,Sub Total Tax-Free,296294,362776,1201742.0,1231328.0,$7/$18 per barrel
174,Barrels Produced,Totals,2009,4,Total Removals,16190806,16189864,61207892.0,61437434.0,$7/$18 per barrel
175,Barrels Produced,Totals,2009,4,Stocks On Hand end-of-month:,10738660,11250856,42068723.0,43192007.0,$7/$18 per barrel
176,Barrels Produced,Totals,2009,5,Production,18417624,18269746,84070206.0,84825128.0,$7/$18 per barrel
177,Barrels Produced,Taxable,2009,5,In bottles and cans,15393903,15421564,69775778.0,69970065.0,$7/$18 per barrel
178,Barrels Produced,Taxable,2009,5,In barrels and kegs,1474095,1489482,6998722.0,7029627.0,$7/$18 per barrel
179,Barrels Produced,Taxable,2009,5,"Tax Determined, Premises Use",5763,9001,106577.0,126461.0,$7/$18 per barrel
180,Barrels Produced,Sub Total Taxable,2009,5,Sub Total Taxable,16873761,16920047,76881077.0,77126153.0,$7/$18 per barrel
181,Barrels Produced,Tax Free,2009,5,For export,338519,356217,1531422.0,1577735.0,$7/$18 per barrel
182,Barrels Produced,Tax Free,2009,5,For vessels and aircraft,0,0,0.0,3.0,$7/$18 per barrel
183,Barrels Produced,Tax Free,2009,5,Consumed on brewery premises,862,1117,9706.0,10924.0,$7/$18 per barrel
184,Barrels Produced,Sub Total Tax-Free,2009,5,Sub Total Tax-Free,339381,357334,1541128.0,1588662.0,$7/$18 per barrel
185,Barrels Produced,Totals,2009,5,Total Removals,17213142,17277381,78422205.0,78714815.0,$7/$18 per barrel
186,Barrels Produced,Totals,2009,5,Stocks On Hand end-of-month:,11022655,11233163,53092719.0,54425170.0,$7/$18 per barrel
187,Barrels Produced,Totals,2009,6,Production,18258249,18269841,102433359.0,103110983.0,$7/$18 per barrel
188,Barrels Produced,Taxable,2009,6,In bottles and cans,15392420,15232540,85200174.0,85202605.0,$7/$18 per barrel
189,Barrels Produced,Taxable,2009,6,In barrels and kegs,1661000,1613439,8669716.0,8643066.0,$7/$18 per barrel
190,Barrels Produced,Taxable,2009,6,"Tax Determined, Premises Use",87133,96662,197141.0,223123.0,$7/$18 per barrel
191,Barrels Produced,Sub Total Taxable,2009,6,Sub Total Taxable,17140553,16942641,94067031.0,94068794.0,$7/$18 per barrel
192,Barrels Produced,Tax Free,2009,6,For export,356256,393036,1888868.0,1970771.0,$7/$18 per barrel
193,Barrels Produced,Tax Free,2009,6,For vessels and aircraft,0,0,0.0,3.0,$7/$18 per barrel
194,Barrels Produced,Tax Free,2009,6,Consumed on brewery premises,6660,7900,16468.0,18824.0,$7/$18 per barrel
195,Barrels Produced,Sub Total Tax-Free,2009,6,Sub Total Tax-Free,362916,400936,1905336.0,1989598.0,$7/$18 per barrel
196,Barrels Produced,Totals,2009,6,Total Removals,17503469,17343577,95972367.0,96058392.0,$7/$18 per barrel
197,Barrels Produced,Totals,2009,6,Stocks On Hand end-of-month:,10843329,7420636,63999713.0,61856026.0,$7/$18 per barrel
198,Barrels Produced,Totals,2009,7,Production,17954037,18039102,120449369.0,121151857.0,$7/$18 per barrel
199,Barrels Produced,Taxable,2009,7,In bottles and cans,15496866,15134199,100725323.0,100336804.0,$7/$18 per barrel
200,Barrels Produced,Taxable,2009,7,In barrels and kegs,1485738,1505707,10174778.0,10149566.0,$7/$18 per barrel
201,Barrels Produced,Taxable,2009,7,"Tax Determined, Premises Use",6970,7573,210486.0,231579.0,$7/$18 per barrel
202,Barrels Produced,Sub Total Taxable,2009,7,Sub Total Taxable,16989574,16647479,111110587.0,110717949.0,$7/$18 per barrel
203,Barrels Produced,Tax Free,2009,7,For export,457739,386200,2347528.0,2356971.0,$7/$18 per barrel
204,Barrels Produced,Tax Free,2009,7,For vessels and aircraft,0,0,0.0,3.0,$7/$18 per barrel
205,Barrels Produced,Tax Free,2009,7,Consumed on brewery premises,1313,1092,18737.0,19916.0,$7/$18 per barrel
206,Barrels Produced,Sub Total Tax-Free,2009,7,Sub Total Tax-Free,459052,387292,2366265.0,2376890.0,$7/$18 per barrel
207,Barrels Produced,Totals,2009,7,Total Removals,17448626,17034771,113476852.0,113094839.0,$7/$18 per barrel
208,Barrels Produced,Totals,2009,7,Stocks On Hand end-of-month:,10459622,11046479,74522898.0,72903323.0,$7/$18 per barrel
209,Barrels Produced,Totals,2009,8,Production,16706135,17799816,137155504.0,138951673.0,$7/$18 per barrel
210,Barrels Produced,Taxable,2009,8,In bottles and cans,14284174,14977228,115009497.0,115314032.0,$7/$18 per barrel
211,Barrels Produced,Taxable,2009,8,In barrels and kegs,1428279,1470704,11603057.0,11620270.0,$7/$18 per barrel
